# from	to	version	name	size	sha256	url
en	vi	2.0	model.envi.intgemm.alphas.bin	31561787	04fa6044593a404c2aa02b3096f203880852df6f8f41e5eb966ed9f2b4366737	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/20260522192834--e5c737d0-a39d-4bb8-8832-2bcc5ef45e5c--991fc4d6-87c3-476d-b879-ddeff0b6cae0.bin
en	vi	2.0	vocab.envi.spm	785200	76daa9a49e393e50c865c889290e4dc36e9453e5e1ec9df7b9f3bc39ea782537	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/20260522192839--8cf85580-732e-484a-8b75-7417bbef3c69--a5f5c4c0-3c8f-452d-ba95-68948247d1a4.spm
en	zh-Hans	2.2	lex.50.50.enzh.s2t.bin	6506248	4a5e5827788060f1d718a8132b69440929387514a045796e9b77f935db68c055	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/da8fccc0-31df-4665-9703-96d36606e019.bin
en	zh-Hans	2.2	model.enzh.intgemm.alphas.bin	43849787	4e5accc141373565ddc8fa1565bceaa8d0c3482a82cab8131c719ebcc6c2157c	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/a7ff7d5e-e67e-406c-a34b-a7edea35b10e.bin
en	zh-Hans	2.2	srcvocab.enzh.spm	806952	bd9b65504acc6d9726dd281f7defc2adb7c2c22d0688fe2f84697de25197c8c5	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/ea98c52c-58dc-45d5-af23-38f2b029d020.spm
en	zh-Hans	2.2	trgvocab.enzh.spm	772004	aded6993c36e440284d11cec3f6b8aef9c0e43188a772d80be342a713adf223d	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/bddbda68-d4d2-4317-a0a1-119caa47525e.spm
en	zh-Hant	2.0	lex.50.50.enzh.s2t.bin	4057188	d891404d1436a7334df12539fe30a26f9e9f2b80bd42fdb8b5f8849e8a1e942b	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/20260522194159--13a8d548-8d6a-46f6-ab8d-ea19098b7fe8--6cf4bdcb-dbe5-4e2d-af40-a02b440fdcc9.bin
en	zh-Hant	2.0	model.enzh.intgemm.alphas.bin	43849787	559ab90d723a58c1f1e2ab7cc12137bc667af5ba3e325e3eb30b5cdc930db520	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/20260522194155--76d2a34e-7ef2-4829-ac1a-a1319b852dc5--72be7771-db83-4218-bec5-44f021cbf00b.bin
en	zh-Hant	2.0	srcvocab.enzh.spm	803694	2266df70492162a249ab1c0154f929bd6098b246544c666c1a0d5a24dde7d2ea	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/20260522194144--b93467f8-2c0b-43f4-a662-19cae5c7f899--ae44a945-6ed0-44d2-88ac-d4b9c25f6c3a.spm
en	zh-Hant	2.0	trgvocab.enzh.spm	751671	22b91a4436d70b91ab8777c677252ab5fae2bc284d71f977df5206c110e3444c	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/20260522194157--52f509a0-ac8b-48bf-ba9f-0c61a064a00a--85418cc0-208e-440b-ac6f-c56d242ca430.spm
es	en	2.0	lex.50.50.esen.s2t.bin	4636248	e2610211d3b9577d012638fe7e7e74ed7b4b708ce96b9e792e67c282a6492daa	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/a55a9cf2-8a8c-4942-a528-91e93d081746.bin
es	en	2.0	model.esen.intgemm.alphas.bin	31561787	4aed7734152ae0045d1a69ae49c86cfda18f53c61f90e95e1d1de1c7c7c3b033	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/d7256ea9-7731-4f15-866c-62998eef93b9.bin
es	en	2.0	vocab.esen.spm	816054	5ae254fa9b15aa182e70fd2a6186b1333c63a29a48043a9224c6aa4fcac058ad	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/8695cc3d-7897-4c29-808b-bc983a93d1cd.spm
et	en	2.0	lex.50.50.eten.s2t.bin	4625968	ad9750f3b41cb5686e561608271a0dc935fc827bf43226e579a6f48a3f6b5f11	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/d1eac33a-7bc9-4434-83ba-2f4d4b71169e.bin
et	en	2.0	model.eten.intgemm.alphas.bin	31561787	df844b3a6df906b2e0682fb7765694f35b351854db00f964896d9c8c365fbff3	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/db579f73-6a71-45fa-b8a2-4a10592d1708.bin
et	en	2.0	vocab.eten.spm	817574	89a3deea4ae7d674fb46a4dae39135dd4dfaac9786f2868d0b5bc5c0aca2ef83	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/3d6825f2-7be2-4f57-9c75-1d0eeafc7f8c.spm
eu	en	2.1	lex.50.50.euen.s2t.bin	3738856	4be647536631440bdf68c59d3de5720d8e87a482e0493ff41767488b4df1731d	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/20260603154011--3e7cb4af-1362-4b92-8a4d-876af8503aed--25a7b41f-ef0e-401c-a20b-e886c4945547.bin
eu	en	2.1	model.euen.intgemm.alphas.bin	31561787	f0a31e26b381d6340b069da4d505e11d18ac91e42f0189d37ed5fe6aa3685ed4	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/20260603154027--5320f62e-c826-4644-8e01-bec64710822f--6b369bc2-bd90-40a0-a6e2-fc5e58d24a95.bin
eu	en	2.1	vocab.euen.spm	826064	8f0cdff0c5bca8ed24d91c415f428d8b208f4991087723f38c1c28b59896de89	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/20260603154029--7a4d5761-5490-4cff-bf14-83e99165c749--fdb7f0cb-a4de-4501-8c30-e4dda214c491.spm
fa	en	1.0	lex.50.50.faen.s2t.bin	3896420	4828cb060bd4375f8aabb85fed39c18aca52b738838394546f2ddbf707a6f28e	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/7b4ebd8f-771e-4324-86b4-17c6fb7d34fc.bin
fa	en	1.0	model.faen.intgemm.alphas.bin	17141051	aa326306c177e11129de5bfeba518abc499c0b6005492766748a9c9ea6f4c712	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/f4aff749-de66-43df-864e-0593eb932a5a.bin
fa	en	1.0	vocab.faen.spm	843153	bf36943053883d6c0fc98c2985f676a0a37042e796bad0e3df0a813d9d5393f4	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/b6d1420e-9622-4f1f-8997-6731d8a9fd73.spm
fi	en	2.0	lex.50.50.fien.s2t.bin	5195132	8bad431e07b062ba47f363b76e4656cc743fd608316d8a4830a4315e44ac9abb	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/285fa313-3daa-4117-b6fe-4246295fddab.bin
fi	en	2.0	model.fien.intgemm.alphas.bin	31561787	e3887341f18bcc7787d9b59eb1229b56eefce18d49b7ebf1e62c55d65a377321	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/53159619-d082-4a0a-95c3-48b5765bee9b.bin
fi	en	2.0	vocab.fien.spm	818770	6a866911427f2916609ae89c7f2f04a78de3fdd8aa183039ecba986635d4f246	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/473d4127-c4ad-4e55-8263-15be0bb60985.spm
